neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
3755219,(2016 NF23),22.92,0.069271561,0.15489592,Earth,30571.02986,11859586.21,FALSE
54340443,(2023 BM8),21.96,0.107784169,0.241012728,Earth,64907.72629,58582668.55,FALSE
54374452,(2023 ME6),22.35,0.090064777,0.201390963,Earth,22214.25904,13999464.36,FALSE
3114030,(2002 CB19),25.16,0.024691927,0.055212826,Earth,88093.29835,49591700.28,FALSE
3745113,(2016 EL27),26.1,0.016016034,0.03581294,Earth,46632.36235,55844654.13,FALSE
3766499,(2017 AN19),19.77,0.295498293,0.660754271,Earth,62402.27976,35606337.45,TRUE
3838251,(2019 CT4),24.4,0.035039264,0.078350176,Earth,71258.66154,65749212.45,FALSE
3843572,(2019 QG),21.36,0.142087207,0.317716653,Earth,45967.49864,32261065.17,TRUE
2163348,163348 (2002 NN4),20.08,0.256185755,0.572848762,Earth,34211.36575,37212552.5,TRUE
3843307,(2019 NX6),21.82,0.114962176,0.257063241,Earth,49992.10234,21383665.37,FALSE
54016817,(2020 HR8),26.9,0.011080388,0.024776501,Earth,41426.18664,56329013.36,FALSE
54190304,(2021 QW1),21.44,0.136947774,0.306224531,Earth,62699.35241,61760239.61,FALSE
